"filename", "language", "CSS", "JSON", "JavaScript", "Markdown", "HTML", "Vue", "SCSS", "comment", "blank", "total"
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\README.md", "Markdown", 0, 0, 0, 22, 0, 0, 0, 0, 7, 29
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\babel.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\package-lock.json", "JSON", 0, 12518, 0, 0, 0, 0, 0, 0, 1, 12519
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\package.json", "JSON", 0, 54, 0, 0, 0, 0, 0, 0, 1, 55
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\public\index.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 1, 1, 18
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\App.vue", "Vue", 0, 0, 0, 0, 0, 33, 0, 0, 5, 38
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\assets\css\MainHeader.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\assets\css\base.css", "CSS", 72, 0, 0, 0, 0, 0, 0, 0, 12, 84
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\assets\css\normalize.css", "CSS", 143, 0, 0, 0, 0, 0, 0, 126, 73, 342
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\axios\apis.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 19, 3, 52
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\axios\service.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 2, 2, 16
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\components\Editor\EditorHeader.vue", "Vue", 0, 0, 0, 0, 0, 81, 0, 22, 4, 107
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\components\Editor\RichTextEditor.vue", "Vue", 0, 0, 0, 0, 0, 50, 0, 3, 1, 54
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\components\MainHeader.vue", "Vue", 0, 0, 0, 0, 0, 246, 0, 25, 6, 277
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\components\MainList.vue", "Vue", 0, 0, 0, 0, 0, 26, 0, 0, 2, 28
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\components\Main\IconButtons.vue", "Vue", 0, 0, 0, 0, 0, 80, 0, 0, 1, 81
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\components\Main\MainListNav.vue", "Vue", 0, 0, 0, 0, 0, 54, 0, 0, 2, 56
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\components\Main\MainListWrapper.vue", "Vue", 0, 0, 0, 0, 0, 100, 0, 0, 2, 102
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\components\Main\MainSidebar.vue", "Vue", 0, 0, 0, 0, 0, 88, 0, 0, 5, 93
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\components\Main\SidebarFooter.vue", "Vue", 0, 0, 0, 0, 0, 77, 0, 0, 1, 78
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\components\Sign\SignUpCore.vue", "Vue", 0, 0, 0, 0, 0, 328, 0, 7, 8, 343
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\components\TabBar.vue", "Vue", 0, 0, 0, 0, 0, 26, 0, 5, 2, 33
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\components\answer\AnswerBar.vue", "Vue", 0, 0, 0, 0, 0, 74, 0, 11, 4, 89
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\components\answer\recommend.vue", "Vue", 0, 0, 0, 0, 0, 241, 0, 65, 22, 328
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\components\childtabbar\ChildHeaderProfile\AskBar.vue", "Vue", 0, 0, 0, 0, 0, 101, 0, 11, 3, 115
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\components\childtabbar\ChildTabBar.vue", "Vue", 0, 0, 0, 0, 0, 111, 0, 10, 0, 121
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\components\childtabbar\HeaderProfile.vue", "Vue", 0, 0, 0, 0, 0, 170, 0, 29, 7, 206
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\components\childtabbar\ProfileList.vue", "Vue", 0, 0, 0, 0, 0, 93, 0, 34, 2, 129
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\components\childtabbar\SearchBar.vue", "Vue", 0, 0, 0, 0, 0, 199, 0, 5, 0, 204
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\components\comment\CommentDialog.vue", "Vue", 0, 0, 0, 0, 0, 143, 0, 1, 3, 147
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\lib\config.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\lib\utils.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\main.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 1, 3, 22
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\networks\request.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\plugins\axios.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 13, 9, 62
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\plugins\element.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\router\index.js", "JavaScript", 0, 0, 126, 0, 0, 0, 0, 2, 5, 133
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\style\answer\answer-nav.scss", "SCSS", 0, 0, 0, 0, 0, 0, 39, 0, 0, 39
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\style\answer\recommend.scss", "SCSS", 0, 0, 0, 0, 0, 0, 84, 0, 4, 88
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\style\common.scss", "SCSS", 0, 0, 0, 0, 0, 0, 62, 2, 7, 71
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\style\found.scss", "SCSS", 0, 0, 0, 0, 0, 0, 201, 0, 2, 203
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\style\index\index-hot.scss", "SCSS", 0, 0, 0, 0, 0, 0, 82, 0, 2, 84
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\style\index\index-main.scss", "SCSS", 0, 0, 0, 0, 0, 0, 63, 0, 0, 63
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\style\index\index-right.scss", "SCSS", 0, 0, 0, 0, 0, 0, 213, 0, 1, 214
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\style\nav.scss", "SCSS", 0, 0, 0, 0, 0, 0, 197, 0, 10, 207
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\views\Answer.vue", "Vue", 0, 0, 0, 0, 0, 50, 0, 0, 12, 62
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\views\Editor.vue", "Vue", 0, 0, 0, 0, 0, 138, 0, 35, 4, 177
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\views\Home.vue", "Vue", 0, 0, 0, 0, 0, 63, 0, 3, 7, 73
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\views\Hot.vue", "Vue", 0, 0, 0, 0, 0, 338, 0, 60, 21, 419
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\views\Main.vue", "Vue", 0, 0, 0, 0, 0, 54, 0, 0, 11, 65
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\views\People.vue", "Vue", 0, 0, 0, 0, 0, 66, 0, 0, 3, 69
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\views\Recommend.vue", "Vue", 0, 0, 0, 0, 0, 347, 0, 47, 18, 412
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\views\SignUp.vue", "Vue", 0, 0, 0, 0, 0, 38, 0, 0, 3, 41
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\views\mainchildren\index-right.vue", "Vue", 0, 0, 0, 0, 0, 170, 0, 5, 4, 179
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\views\peoplechildren\Article.vue", "Vue", 0, 0, 0, 0, 0, 302, 0, 18, 18, 338
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\views\peoplechildren\Collection.vue", "Vue", 0, 0, 0, 0, 0, 300, 0, 18, 18, 336
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\views\peoplechildren\Follow.vue", "Vue", 0, 0, 0, 0, 0, 267, 0, 13, 21, 301
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\views\peoplechildren\FollowPeople.vue", "Vue", 0, 0, 0, 0, 0, 204, 0, 49, 22, 275
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\vue.config.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 4, 0, 16
"Total", "-", 215, 12572, 271, 22, 16, 4658, 941, 646, 389, 19730